time,x_pos,z_pos,yaw_deg,long_vel,lat_vel,yaw_rate,steering,throttle,brake,ax,ay,dist_center,head_diff,track_width,curvature,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,br1,br2,br3,br4,br5,br6,br7,br8,br9,br10,br11,br12,br13,br14
1739888187.056075,-55.5,3.0,90.0,0.0,0.0,0.0,0.009813333333333334,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
1739888187.19577,-55.5,3.0,90.0,0.0,0.0,0.0,0.010097777777777778,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
1739888187.2142432,-55.5,3.0,90.0,0.0,0.0,0.0,0.010239999999999999,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
1739888187.233103,-55.5,3.0,90.0,0.0,0.0,0.0,0.010524444444444446,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
1739888187.2509031,-55.5,3.0,90.0,0.0,0.0,0.0,0.010808888888888889,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
1739888187.2716532,-55.5,3.0,90.0,0.0,0.0,0.0,0.010951111111111111,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
1739888187.290758,-55.5,3.0,90.0,0.0,0.0,0.0,0.011235555555555556,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
1739888187.3115299,-55.5,3.0,90.0,0.0,0.0,0.0,0.011519999999999999,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
1739888187.330862,-55.5,3.0,90.0,0.0,0.0,0.0,0.011804444444444444,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
1739888187.3516831,-55.5,3.0,90.0,0.0,0.0,0.0,0.011946666666666666,-0.0,-0.0,0.0,0.0,-0.4733800814907311,0.023788683791778453,3.8567504334242173,0.010442693388308857,17.570737285114827,15.250097307230634,12.603704519270805,8.892265312633791,4.850804548605691,3.099598154848389,2.3294230902135435,1.9248875981363474,1.7003324045872337,1.5652881603224533,1.4921180240736036,1.4680984946343343,1.489377056413017,1.5593586633984404,20.0,20.0,20.0,20.0,20.0,6.314222439800811,4.214592930826516,3.3832405942525146,2.8994122698536877,2.612908544476632,2.458082831340958,2.3891100120640694,2.394677384782007,2.475668397075498
